id,price
15035,510719.22
15036,437763.25
15037,1397332.1
15038,292518.78
15039,321755.16
15040,323715.25
15041,432206.78
15042,667957.56
15043,288455.94
15044,427838.16
15045,659174.25
15046,238925.56
15047,515995.97
15048,497839.0
15049,709053.5
15050,222626.52
15051,436058.44
15052,448476.28
15053,1041656.4
15054,408173.66
15055,460086.1
15056,575228.0
15057,1094148.0
15058,342558.6
15059,421347.22
15060,419555.94
15061,357383.16
15062,581870.2
15063,291063.1
15064,629738.06
15065,774327.75
15066,351030.25
15067,578064.0
15068,1033648.25
15069,393793.78
15070,524266.8
15071,570969.8
15072,525016.3
15073,391201.6
15074,359489.72
15075,744714.4
15076,1137568.4
15077,403985.53
15078,219003.38
15079,776313.5
15080,480740.06
15081,506255.38
15082,660211.44
15083,289541.03
15084,556088.8
15085,914525.7
15086,510945.5
15087,321122.2
15088,453078.22
15089,227538.28
15090,351930.38
15091,289847.38
15092,246636.55
15093,450002.0
15094,283003.03
15095,251360.0
15096,532873.0
15097,812219.06
15098,442345.03
15099,226790.14
15100,498242.4
15101,184582.94
15102,494062.28
15103,720199.8
15104,470881.56
15105,300512.8
15106,560216.75
15107,483508.47
15108,362013.47
15109,333937.88
15110,253921.16
15111,483166.5
15112,362857.16
15113,374227.03
15114,227404.61
15115,431842.3
15116,469307.9
15117,310535.22
15118,470050.38
15119,686929.5
15120,402422.2
15121,237273.89
15122,297641.84
15123,691451.2
15124,423524.1
15125,554508.94
15126,415372.72
15127,840821.7
15128,509342.66
15129,226747.95
15130,230707.11
15131,232135.33
15132,662743.3
15133,1128562.0
15134,582363.7
15135,584788.94
15136,252738.6
15137,626438.0
15138,303082.16
15139,423077.38
15140,638470.0
15141,347975.25
15142,428903.88
15143,540593.5
15144,614850.0
15145,517056.56
15146,531281.4
15147,313481.56
15148,265304.62
15149,506171.12
15150,417495.97
15151,501976.38
15152,288702.53
15153,384850.25
15154,941044.3
15155,194972.36
15156,397657.4
15157,352211.66
15158,355047.53
15159,317071.7
15160,538779.2
15161,1079371.0
15162,451325.28
15163,390531.1
15164,461880.3
15165,635468.06
15166,1092180.8
15167,523810.75
15168,686544.6
15169,757879.2
15170,178244.7
15171,509315.7
15172,255713.9
15173,632446.6
15174,170083.9
15175,215818.52
15176,559882.06
15177,305169.03
15178,431762.97
15179,913931.9
15180,688994.3
15181,358663.1
15182,734024.5
15183,301347.3
15184,432025.72
15185,394016.06
15186,1141153.8
15187,416410.03
15188,458458.34
15189,320635.84
15190,643449.9
15191,236318.77
15192,430960.84
15193,508466.97
15194,255622.3
15195,290109.22
15196,569001.6
15197,534493.44
15198,421489.94
15199,359826.25
15200,266416.12
15201,612319.75
15202,429735.22
15203,186618.77
15204,205181.86
15205,391566.66
15206,1716278.9
15207,452124.16
15208,308749.53
15209,314251.62
15210,334425.9
15211,318468.75
15212,728225.4
15213,474754.9
15214,337918.28
15215,490402.06
15216,268239.03
15217,219515.42
15218,444472.47
15219,359611.16
15220,361827.3
15221,725582.75
15222,274526.72
15223,587507.4
15224,549577.25
15225,422756.72
15226,199505.64
15227,472737.78
15228,449028.7
15229,595196.06
15230,364619.84
15231,270075.25
15232,488851.6
